,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41,x42,y42,x43,y43,x44,y44,x45,y45,x46,y46,x47,y47,x48,y48,x49,y49,x50,y50,x51,y51,x52,y52,x53,y53,x54,y54,x55,y55,x56,y56,x57,y57,x58,y58,x59,y59,x60,y60,x61,y61,x62,y62,x63,y63,x64,y64,x65,y65,x66,y66,x67,y67,x68,y68,x69,y69,x70,y70,x71,y71,x72,y72,x73,y73,x74,y74,x75,y75,x76,y76,x77,y77,x78,y78,x79,y79,x80,y80,x81,y81,x82,y82,x83,y83,x84,y84,x85,y85,x86,y86,x87,y87,x88,y88,x89,y89,x90,y90,x91,y91,x92,y92,x93,y93,x94,y94,x95,y95,x96,y96,x97,y97,x98,y98,x99,y99,x100,y100,x101,y101
0,640.0,357.0,640.0,357.0,638.282775879,356.776672363,635.864624023,356.954284668,633.477416992,357.005249023,631.149780273,357.101867676,628.731201172,356.926513672,626.43359375,357.102813721,624.08416748,357.094970703,621.697143555,357.105499268,619.339904785,357.1378479,616.856506348,356.997741699,614.533447266,357.089080811,612.156433105,357.241790771,609.785461426,357.214141846,607.350524902,357.06463623,604.92791748,357.124755859,602.496032715,357.098876953,600.101379395,357.098419189,597.673034668,357.15057373,595.213378906,357.003479004,592.799255371,357.071990967,590.418395996,357.085479736,588.055725098,357.208007812,585.643798828,357.205963135,583.320861816,357.265014648,580.856994629,357.237121582,578.538330078,357.295684814,576.188354492,357.309112549,573.727539062,357.38192749,571.339050293,357.420532227,568.901184082,357.477478027,566.524291992,357.503692627,564.107055664,357.45880127,561.709594727,357.4737854,559.316223145,357.448608398,556.870666504,357.459655762,554.44342041,357.493225098,551.991027832,357.406555176,549.503662109,357.409820557,547.028198242,357.363586426,544.561401367,357.382324219,542.099304199,357.38079834,539.615539551,357.322143555,537.250488281,357.287231445,534.862243652,357.434509277,532.429870605,357.374694824,530.088256836,357.348205566,527.665466309,357.372406006,525.282592773,357.444610596,522.800476074,357.344390869,520.374267578,357.484466553,517.924560547,357.444641113,515.45324707,357.461578369,513.037719727,357.460754395,510.619232178,357.423217773,508.202209473,357.304168701,505.794189453,357.425994873,503.318237305,357.383605957,500.846923828,357.231323242,498.418487549,357.197631836,495.982849121,357.242370605,493.610565186,357.311431885,491.186096191,357.335723877,488.744537354,357.372375488,486.34564209,357.412994385,483.9425354,357.437011719,481.563293457,357.352874756,479.179107666,357.36831665,476.828552246,357.384429932,474.4168396,357.366516113,472.028411865,357.271606445,469.622802734,357.369598389,467.231964111,357.290985107,464.87298584,357.337890625,462.513946533,357.225189209,460.143188477,357.250946045,457.728057861,357.323822021,455.330078125,357.329711914,452.837036133,357.274291992,450.415435791,357.454650879,447.948364258,357.418762207,445.603637695,357.524902344,443.221588135,357.473510742,440.775421143,357.474822998,438.393463135,357.46395874,436.006744385,357.559783936,433.635345459,357.5262146,431.282928467,357.541900635,428.907318115,357.619995117,426.494506836,357.564331055,424.101196289,357.621582031,421.631439209,357.646148682,419.245117188,357.594116211,416.817321777,357.716796875,414.518096924,357.650909424,412.13949585,357.606018066,409.690124512,357.62677002,407.342956543,357.683441162,404.862030029,357.667419434,402.476470947,357.656463623
1,666.0,361.0,666.0,361.0,664.250732422,360.777160645,661.824035645,360.958251953,659.411010742,361.01260376,657.032165527,361.117401123,654.616210938,360.946350098,652.270263672,361.127563477,649.89239502,361.136993408,647.487854004,361.149780273,645.12878418,361.183258057,642.62298584,361.066223145,640.300170898,361.148529053,637.842956543,361.304077148,635.485717773,361.289031982,633.01550293,361.142181396,630.579772949,361.207977295,628.111877441,361.181915283,625.660766602,361.19241333,623.24786377,361.254180908,620.708557129,361.134246826,618.317993164,361.186798096,615.867248535,361.198516846,613.488586426,361.307830811,611.060302734,361.319366455,608.65802002,361.360046387,606.201721191,361.346832275,603.81451416,361.391326904,601.459533691,361.43347168,598.972229004,361.474609375,596.543701172,361.516448975,594.102050781,361.572814941,591.667541504,361.599212646,589.247131348,361.541809082,586.799926758,361.552154541,584.413635254,361.534118652,581.933959961,361.54486084,579.491394043,361.549072266,577.006896973,361.467102051,574.502319336,361.464599609,571.973876953,361.407073975,569.503479004,361.419219971,566.999633789,361.421630859,564.501708984,361.350769043,562.08416748,361.336364746,559.675476074,361.467773438,557.219482422,361.397155762,554.828796387,361.379638672,552.430114746,361.386230469,549.984985352,361.453948975,547.509521484,361.35848999,545.009399414,361.481689453,542.56427002,361.434020996,540.082092285,361.450500488,537.626708984,361.442810059,535.196472168,361.412109375,532.707275391,361.28704834,530.303771973,361.405975342,527.780151367,361.359100342,525.313842773,361.19543457,522.817871094,361.159423828,520.405212402,361.21472168,517.986877441,361.265228271,515.530395508,361.319610596,513.084228516,361.343505859,510.617401123,361.378051758,508.255706787,361.408538818,505.803924561,361.323669434,503.411254883,361.342559814,501.050354004,361.354492188,498.611572266,361.340393066,496.214874268,361.25491333,493.767700195,361.338012695,491.351196289,361.278045654,488.975280762,361.319366455,486.591918945,361.228546143,484.197967529,361.232147217,481.746826172,361.318359375,479.327056885,361.332275391,476.798278809,361.272827148,474.368560791,361.449157715,471.860839844,361.407226562,469.500579834,361.512237549,467.075683594,361.460540771,464.603088379,361.473358154,462.210662842,361.455505371,459.78137207,361.561645508,457.389526367,361.539428711,454.988098145,361.543914795,452.598358154,361.635437012,450.140319824,361.578033447,447.685272217,361.640594482,445.233978271,361.683319092,442.767150879,361.6300354,440.35043335,361.763641357,437.992523193,361.69430542,435.568725586,361.661834717,433.129394531,361.680877686,430.715148926,361.73526001,428.253936768,361.72769165,425.811920166,361.727508545
2,632.0,360.0,632.0,360.0,630.297058105,359.781768799,627.87121582,359.957336426,625.483520508,360.010467529,623.176757812,360.114227295,620.758911133,359.929534912,618.477905273,360.124176025,616.142211914,360.117980957,613.735900879,360.140106201,611.409301758,360.176116943,608.942749023,360.05291748,606.624755859,360.138946533,604.260131836,360.294494629,601.869689941,360.278411865,599.472106934,360.132995605,597.08392334,360.202880859,594.61529541,360.185638428,592.25189209,360.180236816,589.803588867,360.246520996,587.373962402,360.114776611,584.972900391,360.181915283,582.586669922,360.200469971,580.245544434,360.331481934,577.824707031,360.329772949,575.479797363,360.388366699,573.06628418,360.357849121,570.711303711,360.413146973,568.382385254,360.430206299,565.934509277,360.485687256,563.526855469,360.527801514,561.131958008,360.588592529,558.71496582,360.608306885,556.330383301,360.560089111,553.926208496,360.578033447,551.536804199,360.554595947,549.146179199,360.55368042,546.673278809,360.584716797,544.273254395,360.494262695,541.750610352,360.504608154,539.318786621,360.455169678,536.824279785,360.471954346,534.373168945,360.479827881,531.891784668,360.416015625,529.518127441,360.389526367,527.157653809,360.536010742,524.686218262,360.4949646,522.360412598,360.481658936,519.968139648,360.487640381,517.565307617,360.563964844,515.117553711,360.472595215,512.65435791,360.612091064,510.255218506,360.561737061,507.754852295,360.567169189,505.368774414,360.568054199,502.969787598,360.516174316,500.523040771,360.397979736,498.131896973,360.523773193,495.649688721,360.46661377,493.225646973,360.325714111,490.767913818,360.277435303,488.382171631,360.328918457,485.992370605,360.394012451,483.561248779,360.423370361,481.181274414,360.454559326,478.733825684,360.504425049,476.391418457,360.521606445,474.019012451,360.445556641,471.6121521,360.452392578,469.311859131,360.477172852,466.878417969,360.452972412,464.492584229,360.365844727,462.113037109,360.461334229,459.6746521,360.373138428,457.375183105,360.421905518,455.018920898,360.314666748,452.62298584,360.336242676,450.268951416,360.406433105,447.806640625,360.407318115,445.375030518,360.363037109,442.943328857,360.535247803,440.490020752,360.492889404,438.174987793,360.595184326,435.749053955,360.554748535,433.370666504,360.546966553,430.96963501,360.542480469,428.606048584,360.630493164,426.271514893,360.597991943,423.879333496,360.616973877,421.52947998,360.685668945,419.127197266,360.625091553,416.697753906,360.687713623,414.312042236,360.709899902,411.859344482,360.657073975,409.473388672,360.788818359,407.196807861,360.71685791,404.780944824,360.672912598,402.377105713,360.69720459,400.028564453,360.73739624,397.562927246,360.729125977,395.197967529,360.722442627
3,656.0,360.0,656.0,360.0,654.334899902,359.748535156,651.901733398,359.926025391,649.496643066,359.95135498,647.172302246,360.066436768,644.761657715,359.868408203,642.432128906,360.044464111,640.05065918,360.049499512,637.677856445,360.04119873,635.308898926,360.080780029,632.846313477,359.931854248,630.495727539,360.000518799,628.163146973,360.169128418,625.699035645,360.129241943,623.392456055,359.966522217,620.921203613,360.043518066,618.473449707,359.981109619,616.052062988,359.99609375,613.582519531,360.05090332,611.183410645,359.882080078,608.73626709,359.93649292,606.368652344,359.934570312,603.984436035,360.073120117,601.595336914,360.065032959,599.171386719,360.118865967,596.789550781,360.089202881,594.417907715,360.128631592,592.019958496,360.17678833,589.575683594,360.193603516,587.129638672,360.24520874,584.718383789,360.289794922,582.327331543,360.301940918,579.890441895,360.242095947,577.520202637,360.246551514,575.111633301,360.209411621,572.655273438,360.217407227,570.261291504,360.231048584,567.729003906,360.124786377,565.266418457,360.119506836,562.75982666,360.04498291,560.330078125,360.059509277,557.833435059,360.047058105,555.369018555,359.947296143,552.966003418,359.922821045,550.541442871,360.094482422,548.136413574,359.996246338,545.695007324,359.966125488,543.358154297,359.981231689,540.876464844,360.067718506,538.419677734,359.918365479,535.957763672,360.092590332,533.527648926,360.03314209,531.050170898,360.044921875,528.609619141,360.035369873,526.190979004,359.982025146,523.703735352,359.80279541,521.289245605,359.952819824,518.831420898,359.883300781,516.343688965,359.695922852,513.893737793,359.642608643,511.466064453,359.705230713,509.063079834,359.754364014,506.609954834,359.796295166,504.217529297,359.829589844,501.746490479,359.85635376,499.334136963,359.897399902,496.969573975,359.760559082,494.615631104,359.78729248,492.237670898,359.803833008,489.816162109,359.780578613,487.366516113,359.687103271,484.987609863,359.789215088,482.592651367,359.70135498,480.258117676,359.74432373,477.876281738,359.640045166,475.499267578,359.622802734,473.059814453,359.711425781,470.62109375,359.705383301,468.195953369,359.636627197,465.739044189,359.824554443,463.318450928,359.773651123,460.851959229,359.883880615,458.46875,359.801361084,456.101989746,359.794342041,453.661468506,359.754821777,451.266906738,359.880767822,448.867858887,359.811889648,446.527191162,359.81918335,444.156707764,359.918945312,441.706878662,359.830108643,439.258605957,359.892059326,436.814331055,359.935577393,434.412445068,359.844818115,432.040466309,360.010375977,429.635742188,359.890594482,427.284179688,359.842437744,424.859985352,359.854064941,422.441894531,359.907501221,420.022033691,359.890045166,417.569458008,359.869537354
4,720.0,266.0,720.0,266.0,718.599060059,265.767578125,716.564575195,265.932495117,714.518981934,265.955810547,712.544128418,266.05380249,710.551086426,265.869720459,708.573425293,266.035736084,706.557128906,266.016937256,704.563842773,266.030212402,702.553527832,266.030548096,700.540161133,265.902435303,698.533813477,265.982940674,696.558227539,266.125823975,694.49206543,266.09765625,692.540100098,265.959259033,690.459899902,266.036376953,688.403442383,265.993377686,686.357971191,265.981658936,684.263793945,266.015716553,682.215270996,265.845947266,680.174377441,265.919891357,678.163024902,265.944488525,676.183349609,266.086730957,674.159729004,266.069061279,672.10369873,266.084136963,670.129394531,266.067749023,668.144165039,266.130523682,666.106445312,266.158508301,664.046081543,266.202484131,661.97442627,266.23626709,659.940917969,266.297393799,657.88482666,266.327301025,655.852844238,266.252319336,653.872253418,266.282440186,651.830383301,266.266113281,649.770446777,266.272125244,647.715393066,266.2762146,645.588317871,266.19821167,643.497375488,266.194244385,641.44152832,266.131591797,639.369750977,266.145904541,637.273742676,266.153594971,635.173950195,266.093292236,633.139099121,266.048278809,631.068908691,266.187347412,629.035949707,266.140350342,627.012939453,266.095336914,624.981018066,266.140991211,622.882507324,266.209350586,620.796142578,266.088531494,618.708557129,266.229278564,616.661804199,266.200164795,614.592163086,266.193969727,612.522949219,266.190185547,610.495178223,266.124481201,608.411499023,265.954742432,606.352722168,266.096588135,604.309875488,266.071929932,602.171264648,265.860595703,600.101806641,265.802062988,598.053100586,265.871856689,596.008850098,265.928466797,593.932128906,265.992706299,591.917114258,266.01852417,589.835510254,266.065124512,587.760925293,266.081115723,585.782348633,265.98526001,583.800354004,266.022491455,581.768310547,266.054962158,579.743896484,266.02432251,577.646911621,265.893280029,575.660888672,265.971008301,573.618835449,265.895874023,571.635253906,265.940643311,569.647949219,265.800720215,567.637084961,265.799163818,565.56072998,265.908966064,563.534667969,265.889984131,561.471557617,265.805603027,559.409790039,266.015319824,557.354431152,265.960327148,555.287841797,266.053314209,553.279907227,265.965087891,551.262207031,265.989959717,549.233093262,265.920074463,547.15637207,266.035705566,545.202453613,265.983337402,543.228942871,265.990905762,541.211181641,266.077453613,539.192016602,265.998809814,537.073486328,266.048278809,535.032165527,266.041503906,533.018615723,265.991149902,530.995727539,266.150909424,528.988525391,266.040740967,527.014831543,265.995635986,524.987854004,266.004760742,522.917785645,266.067565918,520.877807617,266.028076172,518.797973633,266.013305664
5,379.0,258.0,379.0,258.0,377.203552246,257.76171875,374.690704346,257.954833984,372.210205078,257.991943359,369.772705078,258.121765137,367.309967041,257.964691162,364.861572266,258.112243652,362.44229126,258.147918701,359.972106934,258.15814209,357.522277832,258.185180664,354.987884521,258.10723877,352.550628662,258.167114258,350.117370605,258.318145752,347.628723145,258.285614014,345.172790527,258.184265137,342.647583008,258.220855713,340.136901855,258.209411621,337.612182617,258.230743408,335.13168335,258.286743164,332.575897217,258.18737793,330.118499756,258.283752441,327.628326416,258.288330078,325.203063965,258.424285889,322.719573975,258.455200195,320.283294678,258.500396729,317.759979248,258.485626221,315.370819092,258.538330078,312.909332275,258.579589844,310.425170898,258.640136719,307.933227539,258.694763184,305.4637146,258.771850586,302.988555908,258.827514648,300.512237549,258.766448975,298.073699951,258.807983398,295.588897705,258.765930176,293.122680664,258.795898438,290.602355957,258.827575684,288.106811523,258.739135742,285.519165039,258.726959229,282.992218018,258.747375488,280.466308594,258.747070312,277.919616699,258.785400391,275.39364624,258.712982178,272.946685791,258.737243652,270.508056641,258.85925293,268.010620117,258.82119751,265.569915771,258.809875488,263.167602539,258.846435547,260.658874512,258.928039551,258.153381348,258.823394775,255.63470459,259.021759033,253.171722412,258.986480713,250.623809814,259.033996582,248.176681519,259.040466309,245.678070068,258.973327637,243.192001343,258.830749512,240.722167969,258.962005615,238.248519897,258.963562012,235.685577393,258.803710938,233.244155884,258.807067871,230.716140747,258.854675293,228.3331604,258.949310303,225.814437866,259.016448975,223.394271851,259.113250732,220.904556274,259.154571533,218.465377808,259.183532715,216.079360962,259.122436523,213.62348938,259.1534729,211.267547607,259.190063477,208.778137207,259.152984619,206.349624634,259.03237915,203.899673462,259.191833496,201.483078003,259.11730957,199.124343872,259.1847229,196.675750732,259.072265625,194.305923462,259.096618652,191.809371948,259.176086426,189.382080078,259.208648682,186.877975464,259.200744629,184.422729492,259.412536621,181.924087524,259.383056641,179.520843506,259.473937988,177.108947754,259.462005615,174.627914429,259.464599609,172.243621826,259.472839355,169.776870728,259.55645752,167.420883179,259.544311523,165.023391724,259.589874268,162.63142395,259.653808594,160.194381714,259.625518799,157.713470459,259.709381104,155.282791138,259.762695312,152.795532227,259.728393555,150.416000366,259.870422363,148.052062988,259.805725098,145.630783081,259.784973145,143.232177734,259.85168457,140.778518677,259.90435791,138.345184326,259.934448242,135.848114014,259.917724609
6,998.0,440.0,998.0,440.0,996.372741699,439.804931641,993.981628418,439.986114502,991.600708008,440.021362305,989.282531738,440.13494873,986.924682617,439.992950439,984.546691895,440.1640625,982.219299316,440.200744629,979.827514648,440.218841553,977.457580566,440.246398926,975.120178223,440.156433105,972.728759766,440.223144531,970.423583984,440.378570557,967.973388672,440.372924805,965.698547363,440.265808105,963.261779785,440.346221924,960.815368652,440.336578369,958.42956543,440.338287354,955.946350098,440.373260498,953.649414062,440.235198975,951.27532959,440.301025391,948.900146484,440.33114624,946.520324707,440.438232422,944.200317383,440.443054199,941.726257324,440.484405518,939.455688477,440.47088623,937.100036621,440.526519775,934.645874023,440.568634033,932.314575195,440.632537842,929.808776855,440.669342041,927.474365234,440.750274658,925.111694336,440.78012085,922.672607422,440.733795166,920.337036133,440.785919189,917.927062988,440.781463623,915.502868652,440.79296875,913.144836426,440.845855713,910.601379395,440.741790771,908.140380859,440.740844727,905.682312012,440.70614624,903.312927246,440.71887207,900.811096191,440.735900879,898.355957031,440.697845459,895.974487305,440.674591064,893.538513184,440.818969727,891.172912598,440.771972656,888.719299316,440.782073975,886.408447266,440.789886475,883.895812988,440.875793457,881.463134766,440.767303467,879.069763184,440.938140869,876.588500977,440.869262695,874.190917969,440.909851074,871.696838379,440.926971436,869.305725098,440.908721924,866.815246582,440.760650635,864.41027832,440.899169922,862.002197266,440.893463135,859.423583984,440.746917725,857.114624023,440.68157959,854.663879395,440.736663818,852.256835938,440.799865723,849.773803711,440.84274292,847.451660156,440.895355225,845.003601074,440.935943604,842.539123535,440.992492676,840.236633301,440.891662598,837.867675781,440.949157715,835.46673584,440.96572876,833.055725098,440.965362549,830.524475098,440.865112305,828.228637695,440.992492676,825.776977539,440.939331055,823.432678223,441.004638672,821.064941406,440.922790527,818.662658691,440.946136475,816.209228516,441.045074463,813.744567871,441.059082031,811.329833984,441.007781982,808.80847168,441.219512939,806.423278809,441.206298828,803.879211426,441.283874512,801.481201172,441.234954834,799.102722168,441.253997803,796.679321289,441.255767822,794.249572754,441.337860107,791.819519043,441.336914062,789.464172363,441.383636475,787.042541504,441.462249756,784.609130859,441.422515869,782.131652832,441.46975708,779.665710449,441.513061523,777.241821289,441.478973389,774.822998047,441.603179932,772.42364502,441.558013916,770.020202637,441.56048584,767.576843262,441.590362549,765.063293457,441.653106689,762.660583496,441.640411377,760.181762695,441.635955811
7,650.0,449.0,650.0,449.0,648.31854248,448.811920166,645.795227051,448.987518311,643.314086914,449.036865234,640.894165039,449.14453125,638.498352051,448.999389648,636.087524414,449.164398193,633.620727539,449.17489624,631.192932129,449.197967529,628.745666504,449.213806152,626.297058105,449.131561279,623.808654785,449.215759277,621.416870117,449.363952637,618.90222168,449.33972168,616.480834961,449.220550537,613.946044922,449.280029297,611.466247559,449.255310059,608.984069824,449.264282227,606.453674316,449.32333374,603.954650879,449.212249756,601.459655762,449.276550293,599.039672852,449.283782959,596.572937012,449.399871826,594.144836426,449.409820557,591.629699707,449.451446533,589.220336914,449.457641602,586.750793457,449.517547607,584.322692871,449.539855957,581.803894043,449.609802246,579.30291748,449.617279053,576.803588867,449.707458496,574.375183105,449.739807129,571.838867188,449.695983887,569.443237305,449.708587646,566.934082031,449.706176758,564.440795898,449.714080811,561.968688965,449.736907959,559.417358398,449.645843506,556.836303711,449.639587402,554.351867676,449.613342285,551.820068359,449.632965088,549.282836914,449.646636963,546.741760254,449.59085083,544.336364746,449.578948975,541.817993164,449.710205078,539.372375488,449.665802002,536.854064941,449.645904541,534.451660156,449.662658691,531.909729004,449.718963623,529.360351562,449.63180542,526.855224609,449.792480469,524.398498535,449.7371521,521.854553223,449.762817383,519.37512207,449.749664307,516.879150391,449.71762085,514.362304688,449.594573975,511.855560303,449.697662354,509.39239502,449.684173584,506.819580078,449.53137207,504.346405029,449.491821289,501.855133057,449.545898438,499.380493164,449.592285156,496.85345459,449.640045166,494.427886963,449.678527832,491.912322998,449.715698242,489.422698975,449.741363525,487.003601074,449.659210205,484.567382812,449.698944092,482.184143066,449.689239502,479.666595459,449.683654785,477.147460938,449.572296143,474.704437256,449.694702148,472.26739502,449.615783691,469.823760986,449.659912109,467.415283203,449.569061279,464.949188232,449.57333374,462.461181641,449.639251709,459.968444824,449.66204834,457.488189697,449.598358154,454.954803467,449.794250488,452.506256104,449.749328613,449.975341797,449.864624023,447.526855469,449.788848877,445.088806152,449.801025391,442.595916748,449.797698975,440.14453125,449.902648926,437.684356689,449.868835449,435.310394287,449.882232666,432.828460693,449.979858398,430.384155273,449.889465332,427.835021973,449.957824707,425.374725342,450.001831055,422.885559082,449.954925537,420.443145752,450.096252441,418.021728516,450.018218994,415.56362915,449.961700439,413.115631104,450.017730713,410.620574951,450.068267822,408.142150879,450.053375244,405.62322998,450.035552979
